Category,Subject,Icon,Episode No,Level,Episode Title,Description,Base XP,Badge
科学,🔭 天文与空间,🔭,1,探险家,El Sistema Solar,"Planetas, lunas, órbitas básicas",100,
科学,🔭 天文与空间,🔭,2,探险家,Estrellas y Constelaciones,"Tipos de estrellas, ciclo estelar",100,
科学,🔭 天文与空间,🔭,3,探险家,La Luna y las Mareas,"Fases lunares, influencia terrestre",100,🥉 青铜徽章
科学,🔭 天文与空间,🔭,4,学徒,Galaxias y Nebulosas,"Vía Láctea, tipos de galaxias",200,
科学,🔭 天文与空间,🔭,5,学徒,Exploración Espacial,Historia de la carrera espacial,200,
科学,🔭 天文与空间,🔭,6,学徒,Agujeros Negros,"Formación, horizonte de eventos",200,🥈 白银徽章
科学,🔭 天文与空间,🔭,7,行家,Cosmología del Big Bang,"Origen del universo, radiación cósmica",350,
科学,🔭 天文与空间,🔭,8,行家,Exoplanetas y Vida,"Zona habitable, búsqueda de vida",350,🥇 黄金徽章
科学,🔭 天文与空间,🔭,9,专家,Materia y Energía Oscura,Composición oculta del universo,500,
科学,🔭 天文与空间,🔭,10,专家,El Futuro del Cosmos,"Destino del universo, teorías finales",500,💎 钻石徽章
历史,🏛️ 古代历史,🏛️,1,探险家,Mesopotamia: Cuna de la Civilización,"Sumerios, escritura cuneiforme",100,
历史,🏛️ 古代历史,🏛️,2,探险家,Egipto: El Nilo y los Faraones,"Pirámides, momificación, jeroglíficos",100,
历史,🏛️ 古代历史,🏛️,3,探险家,Grecia: Democracia y Filosofía,"Atenas, Esparta, pensadores",100,🥉 青铜徽章
历史,🏛️ 古代历史,🏛️,4,学徒,Roma: República e Imperio,"Legiones, ingeniería, derecho romano",200,
历史,🏛️ 古代历史,🏛️,5,学徒,China: Dinastías Imperiales,"Gran Muralla, Ruta de la Seda",200,
历史,🏛️ 古代历史,🏛️,6,学徒,India: Civilización del Indo,"Harappa, vedas, castas",200,🥈 白银徽章
历史,🏛️ 古代历史,🏛️,7,行家,Persia y los Grandes Imperios,"Ciro, Darío, guerras médicas",350,
历史,🏛️ 古代历史,🏛️,8,行家,Civilizaciones Precolombinas,"Maya, Azteca, Inca",350,🥇 黄金徽章
历史,🏛️ 古代历史,🏛️,9,专家,Caída de los Imperios,Patrones de colapso civilizatorio,500,
历史,🏛️ 古代历史,🏛️,10,专家,Legado Antiguo en el Mundo Moderno,Influencias actuales del mundo antiguo,500,💎 钻石徽章
科学,🧠 神经科学,🧠,1,探险家,El Cerebro: Mapa Básico,"Lóbulos, hemisferios, funciones",100,
科学,🧠 神经科学,🧠,2,探险家,Neuronas y Sinapsis,Comunicación neuronal básica,100,
科学,🧠 神经科学,🧠,3,探险家,Los Sentidos,Cómo el cerebro procesa el mundo,100,🥉 青铜徽章
科学,🧠 神经科学,🧠,4,学徒,Memoria y Aprendizaje,"Tipos de memoria, neuroplasticidad",200,
科学,🧠 神经科学,🧠,5,学徒,Emociones y el Cerebro,"Sistema límbico, amígdala",200,
科学,🧠 神经科学,🧠,6,学徒,El Sueño y los Sueños,"Ciclos REM, función reparadora",200,🥈 白银徽章
科学,🧠 神经科学,🧠,7,行家,Neuroquímica,"Dopamina, serotonina, endorfinas",350,
科学,🧠 神经科学,🧠,8,行家,Trastornos Neurológicos,"Alzheimer, Parkinson, epilepsia",350,🥇 黄金徽章
科学,🧠 神经科学,🧠,9,专家,Conciencia y Libre Albedrío,El misterio de la conciencia,500,
科学,🧠 神经科学,🧠,10,专家,Neurotecnología del Futuro,"Interfaces cerebro-máquina, IA neural",500,💎 钻石徽章
技术,🤖 Inteligencia Artificial,🤖,1,探险家,¿Qué es la IA?,"Conceptos básicos, historia",100,
技术,🤖 Inteligencia Artificial,🤖,2,探险家,Machine Learning 101,Aprendizaje supervisado y no supervisado,100,
技术,🤖 Inteligencia Artificial,🤖,3,探险家,Redes Neuronales,Cómo aprende una máquina,100,🥉 青铜徽章
技术,🤖 Inteligencia Artificial,🤖,4,学徒,Procesamiento del Lenguaje,"NLP, chatbots, traducción",200,
技术,🤖 Inteligencia Artificial,🤖,5,学徒,Visión por Computador,Reconocimiento de imágenes,200,
技术,🤖 Inteligencia Artificial,🤖,6,学徒,IA Generativa,"GPT, DALL-E, creación de contenido",200,🥈 白银徽章
技术,🤖 Inteligencia Artificial,🤖,7,行家,IA en la Industria,"Aplicaciones reales, transformación",350,
技术,🤖 Inteligencia Artificial,🤖,8,行家,Ética de la IA,"Sesgos, privacidad, regulación",350,🥇 黄金徽章
