Category,Subject,Icon,Episode No,Level,Episode Title,Description,Base XP,Badge
العلم,🔭 علم الفلك والفضاء,🔭,1,مستكشف,El Sistema Solar,"Planetas, lunas, órbitas básicas",100,
العلم,🔭 علم الفلك والفضاء,🔭,2,مستكشف,Estrellas y Constelaciones,"Tipos de estrellas, ciclo estelar",100,
العلم,🔭 علم الفلك والفضاء,🔭,3,مستكشف,La Luna y las Mareas,"Fases lunares, influencia terrestre",100,🥉 وسام برونزي
العلم,🔭 علم الفلك والفضاء,🔭,4,مبتدئ,Galaxias y Nebulosas,"Vía Láctea, tipos de galaxias",200,
العلم,🔭 علم الفلك والفضاء,🔭,5,مبتدئ,Exploración Espacial,Historia de la carrera espacial,200,
العلم,🔭 علم الفلك والفضاء,🔭,6,مبتدئ,Agujeros Negros,"Formación, horizonte de eventos",200,🥈 وسام فضي
العلم,🔭 علم الفلك والفضاء,🔭,7,خبير,Cosmología del Big Bang,"Origen del universo, radiación cósmica",350,
العلم,🔭 علم الفلك والفضاء,🔭,8,خبير,Exoplanetas y Vida,"Zona habitable, búsqueda de vida",350,🥇 وسام ذهبي
العلم,🔭 علم الفلك والفضاء,🔭,9,خبير,Materia y Energía Oscura,Composición oculta del universo,500,
العلم,🔭 علم الفلك والفضاء,🔭,10,خبير,El Futuro del Cosmos,"Destino del universo, teorías finales",500,💎 وسام ماسي
التاريخ,🏛️ التاريخ القديم,🏛️,1,مستكشف,Mesopotamia: Cuna de la Civilización,"Sumerios, escritura cuneiforme",100,
التاريخ,🏛️ التاريخ القديم,🏛️,2,مستكشف,Egipto: El Nilo y los Faraones,"Pirámides, momificación, jeroglíficos",100,
التاريخ,🏛️ التاريخ القديم,🏛️,3,مستكشف,Grecia: Democracia y Filosofía,"Atenas, Esparta, pensadores",100,🥉 وسام برونزي
التاريخ,🏛️ التاريخ القديم,🏛️,4,مبتدئ,Roma: República e Imperio,"Legiones, ingeniería, derecho romano",200,
التاريخ,🏛️ التاريخ القديم,🏛️,5,مبتدئ,China: Dinastías Imperiales,"Gran Muralla, Ruta de la Seda",200,
التاريخ,🏛️ التاريخ القديم,🏛️,6,مبتدئ,India: Civilización del Indo,"Harappa, vedas, castas",200,🥈 وسام فضي
التاريخ,🏛️ التاريخ القديم,🏛️,7,خبير,Persia y los Grandes Imperios,"Ciro, Darío, guerras médicas",350,
التاريخ,🏛️ التاريخ القديم,🏛️,8,خبير,Civilizaciones Precolombinas,"Maya, Azteca, Inca",350,🥇 وسام ذهبي
التاريخ,🏛️ التاريخ القديم,🏛️,9,خبير,Caída de los Imperios,Patrones de colapso civilizatorio,500,
التاريخ,🏛️ التاريخ القديم,🏛️,10,خبير,Legado Antiguo en el Mundo Moderno,Influencias actuales del mundo antiguo,500,💎 وسام ماسي
العلم,🧠 علم الأعصاب,🧠,1,مستكشف,El Cerebro: Mapa Básico,"Lóbulos, hemisferios, funciones",100,
العلم,🧠 علم الأعصاب,🧠,2,مستكشف,Neuronas y Sinapsis,Comunicación neuronal básica,100,
العلم,🧠 علم الأعصاب,🧠,3,مستكشف,Los Sentidos,Cómo el cerebro procesa el mundo,100,🥉 وسام برونزي
العلم,🧠 علم الأعصاب,🧠,4,مبتدئ,Memoria y Aprendizaje,"Tipos de memoria, neuroplasticidad",200,
العلم,🧠 علم الأعصاب,🧠,5,مبتدئ,Emociones y el Cerebro,"Sistema límbico, amígdala",200,
العلم,🧠 علم الأعصاب,🧠,6,مبتدئ,El Sueño y los Sueños,"Ciclos REM, función reparadora",200,🥈 وسام فضي
العلم,🧠 علم الأعصاب,🧠,7,خبير,Neuroquímica,"Dopamina, serotonina, endorfinas",350,
العلم,🧠 علم الأعصاب,🧠,8,خبير,Trastornos Neurológicos,"Alzheimer, Parkinson, epilepsia",350,🥇 وسام ذهبي
