Category,Subject,Icon,Episode No,Level,Episode Title,Description,Base XP,Badge
과학,🔭 천문학과 우주,🔭,1,탐험가,El Sistema Solar,"Planetas, lunas, órbitas básicas",100,
과학,🔭 천문학과 우주,🔭,2,탐험가,Estrellas y Constelaciones,"Tipos de estrellas, ciclo estelar",100,
과학,🔭 천문학과 우주,🔭,3,탐험가,La Luna y las Mareas,"Fases lunares, influencia terrestre",100,🥉 브론즈 배지
과학,🔭 천문학과 우주,🔭,4,견습생,Galaxias y Nebulosas,"Vía Láctea, tipos de galaxias",200,
과학,🔭 천문학과 우주,🔭,5,견습생,Exploración Espacial,Historia de la carrera espacial,200,
과학,🔭 천문학과 우주,🔭,6,견습생,Agujeros Negros,"Formación, horizonte de eventos",200,🥈 실버 배지
과학,🔭 천문학과 우주,🔭,7,전문가,Cosmología del Big Bang,"Origen del universo, radiación cósmica",350,
과학,🔭 천문학과 우주,🔭,8,전문가,Exoplanetas y Vida,"Zona habitable, búsqueda de vida",350,🥇 골드 배지
과학,🔭 천문학과 우주,🔭,9,전문가,Materia y Energía Oscura,Composición oculta del universo,500,
과학,🔭 천문학과 우주,🔭,10,전문가,El Futuro del Cosmos,"Destino del universo, teorías finales",500,💎 다이아몬드 배지
역사,🏛️ 고대사,🏛️,1,탐험가,Mesopotamia: Cuna de la Civilización,"Sumerios, escritura cuneiforme",100,
역사,🏛️ 고대사,🏛️,2,탐험가,Egipto: El Nilo y los Faraones,"Pirámides, momificación, jeroglíficos",100,
역사,🏛️ 고대사,🏛️,3,탐험가,Grecia: Democracia y Filosofía,"Atenas, Esparta, pensadores",100,🥉 브론즈 배지
역사,🏛️ 고대사,🏛️,4,견습생,Roma: República e Imperio,"Legiones, ingeniería, derecho romano",200,
역사,🏛️ 고대사,🏛️,5,견습생,China: Dinastías Imperiales,"Gran Muralla, Ruta de la Seda",200,
역사,🏛️ 고대사,🏛️,6,견습생,India: Civilización del Indo,"Harappa, vedas, castas",200,🥈 실버 배지
역사,🏛️ 고대사,🏛️,7,전문가,Persia y los Grandes Imperios,"Ciro, Darío, guerras médicas",350,
역사,🏛️ 고대사,🏛️,8,전문가,Civilizaciones Precolombinas,"Maya, Azteca, Inca",350,🥇 골드 배지
역사,🏛️ 고대사,🏛️,9,전문가,Caída de los Imperios,Patrones de colapso civilizatorio,500,
역사,🏛️ 고대사,🏛️,10,전문가,Legado Antiguo en el Mundo Moderno,Influencias actuales del mundo antiguo,500,💎 다이아몬드 배지
과학,🧠 신경과학,🧠,1,탐험가,El Cerebro: Mapa Básico,"Lóbulos, hemisferios, funciones",100,
과학,🧠 신경과학,🧠,2,탐험가,Neuronas y Sinapsis,Comunicación neuronal básica,100,
과학,🧠 신경과학,🧠,3,탐험가,Los Sentidos,Cómo el cerebro procesa el mundo,100,🥉 브론즈 배지
과학,🧠 신경과학,🧠,4,견습생,Memoria y Aprendizaje,"Tipos de memoria, neuroplasticidad",200,
과학,🧠 신경과학,🧠,5,견습생,Emociones y el Cerebro,"Sistema límbico, amígdala",200,
과학,🧠 신경과학,🧠,6,견습생,El Sueño y los Sueños,"Ciclos REM, función reparadora",200,🥈 실버 배지
과학,🧠 신경과학,🧠,7,전문가,Neuroquímica,"Dopamina, serotonina, endorfinas",350,
과학,🧠 신경과학,🧠,8,전문가,Trastornos Neurológicos,"Alzheimer, Parkinson, epilepsia",350,🥇 골드 배지
과학,🧠 신경과학,🧠,9,전문가,Conciencia y Libre Albedrío,El misterio de la conciencia,500,
과학,🧠 신경과학,🧠,10,전문가,Neurotecnología del Futuro,"Interfaces cerebro-máquina, IA neural",500,💎 다이아몬드 배지
기술,🤖 Inteligencia Artificial,🤖,1,탐험가,¿Qué es la IA?,"Conceptos básicos, historia",100,
기술,🤖 Inteligencia Artificial,🤖,2,탐험가,Machine Learning 101,Aprendizaje supervisado y no supervisado,100,
기술,🤖 Inteligencia Artificial,🤖,3,탐험가,Redes Neuronales,Cómo aprende una máquina,100,🥉 브론즈 배지
기술,🤖 Inteligencia Artificial,🤖,4,견습생,Procesamiento del Lenguaje,"NLP, chatbots, traducción",200,
기술,🤖 Inteligencia Artificial,🤖,5,견습생,Visión por Computador,Reconocimiento de imágenes,200,
기술,🤖 Inteligencia Artificial,🤖,6,견습생,IA Generativa,"GPT, DALL-E, creación de contenido",200,🥈 실버 배지
기술,🤖 Inteligencia Artificial,🤖,7,전문가,IA en la Industria,"Aplicaciones reales, transformación",350,
기술,🤖 Inteligencia Artificial,🤖,8,전문가,Ética de la IA,"Sesgos, privacidad, regulación",350,🥇 골드 배지
기술,🤖 Inteligencia Artificial,🤖,9,전문가,IA General (AGI),Camino hacia la superinteligencia,500,
기술,🤖 Inteligencia Artificial,🤖,10,전문가,El Futuro IA-Humano,"Coexistencia, singularidad tecnológica",500,💎 다이아몬드 배지
사회,💰 Economía y Finanzas,💰,1,탐험가,Oferta y Demanda,Principios básicos del mercado,100,
사회,💰 Economía y Finanzas,💰,2,탐험가,El Dinero y la Banca,"Historia del dinero, sistema bancario",100,
사회,💰 Economía y Finanzas,💰,3,탐험가,Inflación y Precios,Por qué sube el coste de la vida,100,🥉 브론즈 배지
사회,💰 Economía y Finanzas,💰,4,견습생,Mercados Bursátiles,"Bolsa, acciones, índices",200,
사회,💰 Economía y Finanzas,💰,5,견습생,Comercio Internacional,"Globalización, aranceles, tratados",200,
사회,💰 Economía y Finanzas,💰,6,견습생,Criptomonedas y Blockchain,"Bitcoin, tecnología descentralizada",200,🥈 실버 배지
사회,💰 Economía y Finanzas,💰,7,전문가,Crisis Económicas,"Grandes recesiones, patrones",350,
사회,💰 Economía y Finanzas,💰,8,전문가,Política Monetaria,"Bancos centrales, tipos de interés",350,🥇 골드 배지
사회,💰 Economía y Finanzas,💰,9,전문가,Economía Conductual,Psicología de las decisiones financieras,500,
사회,💰 Economía y Finanzas,💰,10,전문가,El Futuro de la Economía,"Post-capitalismo, economía circular",500,💎 다이아몬드 배지
자연,🐋 Biología Marina,🐋,1,탐험가,Los Océanos del Mundo,"Geografía oceánica, corrientes",100,
자연,🐋 Biología Marina,🐋,2,탐험가,Arrecifes de Coral,"Ecosistemas submarinos, biodiversidad",100,
