Category,Subject,Icon,Episode No,Level,Episode Title,Description,Base XP,Badge
Science,🔭 Astronomy and Space,🔭,1,Explorer,El Sistema Solar,"Planetas, lunas, órbitas básicas",100,
Science,🔭 Astronomy and Space,🔭,2,Explorer,Estrellas y Constelaciones,"Tipos de estrellas, ciclo estelar",100,
Science,🔭 Astronomy and Space,🔭,3,Explorer,La Luna y las Mareas,"Fases lunares, influencia terrestre",100,🥉 Bronze Badge
Science,🔭 Astronomy and Space,🔭,4,Apprentice,Galaxias y Nebulosas,"Vía Láctea, tipos de galaxias",200,
Science,🔭 Astronomy and Space,🔭,5,Apprentice,Exploración Espacial,Historia de la carrera espacial,200,
Science,🔭 Astronomy and Space,🔭,6,Apprentice,Agujeros Negros,"Formación, horizonte de eventos",200,🥈 Silver Badge
Science,🔭 Astronomy and Space,🔭,7,Connoisseur,Cosmología del Big Bang,"Origen del universo, radiación cósmica",350,
Science,🔭 Astronomy and Space,🔭,8,Connoisseur,Exoplanetas y Vida,"Zona habitable, búsqueda de vida",350,🥇 Gold Badge
Science,🔭 Astronomy and Space,🔭,9,Expert,Materia y Energía Oscura,Composición oculta del universo,500,
Science,🔭 Astronomy and Space,🔭,10,Expert,El Futuro del Cosmos,"Destino del universo, teorías finales",500,💎 Diamond Badge
History,🏛️ Ancient History,🏛️,1,Explorer,Mesopotamia: Cuna de la Civilización,"Sumerios, escritura cuneiforme",100,
History,🏛️ Ancient History,🏛️,2,Explorer,Egipto: El Nilo y los Faraones,"Pirámides, momificación, jeroglíficos",100,
History,🏛️ Ancient History,🏛️,3,Explorer,Grecia: Democracia y Filosofía,"Atenas, Esparta, pensadores",100,🥉 Bronze Badge
History,🏛️ Ancient History,🏛️,4,Apprentice,Roma: República e Imperio,"Legiones, ingeniería, derecho romano",200,
History,🏛️ Ancient History,🏛️,5,Apprentice,China: Dinastías Imperiales,"Gran Muralla, Ruta de la Seda",200,
History,🏛️ Ancient History,🏛️,6,Apprentice,India: Civilización del Indo,"Harappa, vedas, castas",200,🥈 Silver Badge
History,🏛️ Ancient History,🏛️,7,Connoisseur,Persia y los Grandes Imperios,"Ciro, Darío, guerras médicas",350,
History,🏛️ Ancient History,🏛️,8,Connoisseur,Civilizaciones Precolombinas,"Maya, Azteca, Inca",350,🥇 Gold Badge
History,🏛️ Ancient History,🏛️,9,Expert,Caída de los Imperios,Patrones de colapso civilizatorio,500,
History,🏛️ Ancient History,🏛️,10,Expert,Legado Antiguo en el Mundo Moderno,Influencias actuales del mundo antiguo,500,💎 Diamond Badge
Science,🧠 Neuroscience,🧠,1,Explorer,El Cerebro: Mapa Básico,"Lóbulos, hemisferios, funciones",100,
Science,🧠 Neuroscience,🧠,2,Explorer,Neuronas y Sinapsis,Comunicación neuronal básica,100,
Science,🧠 Neuroscience,🧠,3,Explorer,Los Sentidos,Cómo el cerebro procesa el mundo,100,🥉 Bronze Badge
Science,🧠 Neuroscience,🧠,4,Apprentice,Memoria y Aprendizaje,"Tipos de memoria, neuroplasticidad",200,
