Category,Subject,Icon,Episode No,Level,Episode Title,Description,Base XP,Badge
Wissenschaft,🔭 Astronomie und Weltraum,🔭,1,Entdecker,El Sistema Solar,"Planetas, lunas, órbitas básicas",100,
Wissenschaft,🔭 Astronomie und Weltraum,🔭,2,Entdecker,Estrellas y Constelaciones,"Tipos de estrellas, ciclo estelar",100,
Wissenschaft,🔭 Astronomie und Weltraum,🔭,3,Entdecker,La Luna y las Mareas,"Fases lunares, influencia terrestre",100,🥉 Bronze-Abzeichen
Wissenschaft,🔭 Astronomie und Weltraum,🔭,4,Lehrling,Galaxias y Nebulosas,"Vía Láctea, tipos de galaxias",200,
Wissenschaft,🔭 Astronomie und Weltraum,🔭,5,Lehrling,Exploración Espacial,Historia de la carrera espacial,200,
Wissenschaft,🔭 Astronomie und Weltraum,🔭,6,Lehrling,Agujeros Negros,"Formación, horizonte de eventos",200,🥈 Silber-Abzeichen
Wissenschaft,🔭 Astronomie und Weltraum,🔭,7,Kenner,Cosmología del Big Bang,"Origen del universo, radiación cósmica",350,
Wissenschaft,🔭 Astronomie und Weltraum,🔭,8,Kenner,Exoplanetas y Vida,"Zona habitable, búsqueda de vida",350,🥇 Gold-Abzeichen
Wissenschaft,🔭 Astronomie und Weltraum,🔭,9,Experte,Materia y Energía Oscura,Composición oculta del universo,500,
Wissenschaft,🔭 Astronomie und Weltraum,🔭,10,Experte,El Futuro del Cosmos,"Destino del universo, teorías finales",500,💎 Diamant-Abzeichen
Geschichte,🏛️ Antike Geschichte,🏛️,1,Entdecker,Mesopotamia: Cuna de la Civilización,"Sumerios, escritura cuneiforme",100,
Geschichte,🏛️ Antike Geschichte,🏛️,2,Entdecker,Egipto: El Nilo y los Faraones,"Pirámides, momificación, jeroglíficos",100,
Geschichte,🏛️ Antike Geschichte,🏛️,3,Entdecker,Grecia: Democracia y Filosofía,"Atenas, Esparta, pensadores",100,🥉 Bronze-Abzeichen
Geschichte,🏛️ Antike Geschichte,🏛️,4,Lehrling,Roma: República e Imperio,"Legiones, ingeniería, derecho romano",200,
Geschichte,🏛️ Antike Geschichte,🏛️,5,Lehrling,China: Dinastías Imperiales,"Gran Muralla, Ruta de la Seda",200,
Geschichte,🏛️ Antike Geschichte,🏛️,6,Lehrling,India: Civilización del Indo,"Harappa, vedas, castas",200,🥈 Silber-Abzeichen
Geschichte,🏛️ Antike Geschichte,🏛️,7,Kenner,Persia y los Grandes Imperios,"Ciro, Darío, guerras médicas",350,
Geschichte,🏛️ Antike Geschichte,🏛️,8,Kenner,Civilizaciones Precolombinas,"Maya, Azteca, Inca",350,🥇 Gold-Abzeichen
Geschichte,🏛️ Antike Geschichte,🏛️,9,Experte,Caída de los Imperios,Patrones de colapso civilizatorio,500,
Geschichte,🏛️ Antike Geschichte,🏛️,10,Experte,Legado Antiguo en el Mundo Moderno,Influencias actuales del mundo antiguo,500,💎 Diamant-Abzeichen
Wissenschaft,🧠 Neurowissenschaft,🧠,1,Entdecker,El Cerebro: Mapa Básico,"Lóbulos, hemisferios, funciones",100,
Wissenschaft,🧠 Neurowissenschaft,🧠,2,Entdecker,Neuronas y Sinapsis,Comunicación neuronal básica,100,
Wissenschaft,🧠 Neurowissenschaft,🧠,3,Entdecker,Los Sentidos,Cómo el cerebro procesa el mundo,100,🥉 Bronze-Abzeichen
Wissenschaft,🧠 Neurowissenschaft,🧠,4,Lehrling,Memoria y Aprendizaje,"Tipos de memoria, neuroplasticidad",200,
Wissenschaft,🧠 Neurowissenschaft,🧠,5,Lehrling,Emociones y el Cerebro,"Sistema límbico, amígdala",200,
Wissenschaft,🧠 Neurowissenschaft,🧠,6,Lehrling,El Sueño y los Sueños,"Ciclos REM, función reparadora",200,🥈 Silber-Abzeichen
Wissenschaft,🧠 Neurowissenschaft,🧠,7,Kenner,Neuroquímica,"Dopamina, serotonina, endorfinas",350,
Wissenschaft,🧠 Neurowissenschaft,🧠,8,Kenner,Trastornos Neurológicos,"Alzheimer, Parkinson, epilepsia",350,🥇 Gold-Abzeichen
Wissenschaft,🧠 Neurowissenschaft,🧠,9,Experte,Conciencia y Libre Albedrío,El misterio de la conciencia,500,
Wissenschaft,🧠 Neurowissenschaft,🧠,10,Experte,Neurotecnología del Futuro,"Interfaces cerebro-máquina, IA neural",500,💎 Diamant-Abzeichen
Technologie,🤖 Inteligencia Artificial,🤖,1,Entdecker,¿Qué es la IA?,"Conceptos básicos, historia",100,
Technologie,🤖 Inteligencia Artificial,🤖,2,Entdecker,Machine Learning 101,Aprendizaje supervisado y no supervisado,100,
Technologie,🤖 Inteligencia Artificial,🤖,3,Entdecker,Redes Neuronales,Cómo aprende una máquina,100,🥉 Bronze-Abzeichen
Technologie,🤖 Inteligencia Artificial,🤖,4,Lehrling,Procesamiento del Lenguaje,"NLP, chatbots, traducción",200,
Technologie,🤖 Inteligencia Artificial,🤖,5,Lehrling,Visión por Computador,Reconocimiento de imágenes,200,
Technologie,🤖 Inteligencia Artificial,🤖,6,Lehrling,IA Generativa,"GPT, DALL-E, creación de contenido",200,🥈 Silber-Abzeichen
Technologie,🤖 Inteligencia Artificial,🤖,7,Kenner,IA en la Industria,"Aplicaciones reales, transformación",350,
Technologie,🤖 Inteligencia Artificial,🤖,8,Kenner,Ética de la IA,"Sesgos, privacidad, regulación",350,🥇 Gold-Abzeichen
Technologie,🤖 Inteligencia Artificial,🤖,9,Experte,IA General (AGI),Camino hacia la superinteligencia,500,
Technologie,🤖 Inteligencia Artificial,🤖,10,Experte,El Futuro IA-Humano,"Coexistencia, singularidad tecnológica",500,💎 Diamant-Abzeichen
Gesellschaft,💰 Economía y Finanzas,💰,1,Entdecker,Oferta y Demanda,Principios básicos del mercado,100,
Gesellschaft,💰 Economía y Finanzas,💰,2,Entdecker,El Dinero y la Banca,"Historia del dinero, sistema bancario",100,
Gesellschaft,💰 Economía y Finanzas,💰,3,Entdecker,Inflación y Precios,Por qué sube el coste de la vida,100,🥉 Bronze-Abzeichen
Gesellschaft,💰 Economía y Finanzas,💰,4,Lehrling,Mercados Bursátiles,"Bolsa, acciones, índices",200,
Gesellschaft,💰 Economía y Finanzas,💰,5,Lehrling,Comercio Internacional,"Globalización, aranceles, tratados",200,
Gesellschaft,💰 Economía y Finanzas,💰,6,Lehrling,Criptomonedas y Blockchain,"Bitcoin, tecnología descentralizada",200,🥈 Silber-Abzeichen
Gesellschaft,💰 Economía y Finanzas,💰,7,Kenner,Crisis Económicas,"Grandes recesiones, patrones",350,
Gesellschaft,💰 Economía y Finanzas,💰,8,Kenner,Política Monetaria,"Bancos centrales, tipos de interés",350,🥇 Gold-Abzeichen
Gesellschaft,💰 Economía y Finanzas,💰,9,Experte,Economía Conductual,Psicología de las decisiones financieras,500,
Gesellschaft,💰 Economía y Finanzas,💰,10,Experte,El Futuro de la Economía,"Post-capitalismo, economía circular",500,💎 Diamant-Abzeichen
Natur,🐋 Biología Marina,🐋,1,Entdecker,Los Océanos del Mundo,"Geografía oceánica, corrientes",100,
Natur,🐋 Biología Marina,🐋,2,Entdecker,Arrecifes de Coral,"Ecosistemas submarinos, biodiversidad",100,
Natur,🐋 Biología Marina,🐋,3,Entdecker,Grandes Mamíferos Marinos,"Ballenas, delfines, comunicación",100,🥉 Bronze-Abzeichen
Natur,🐋 Biología Marina,🐋,4,Lehrling,El Abismo: Vida en las Profundidades,"Criaturas abisales, bioluminiscencia",200,
Natur,🐋 Biología Marina,🐋,5,Lehrling,Tiburones: Depredadores del Mar,"Especies, mitos y realidades",200,
