Category,Subject,Icon,Episode No,Level,Episode Title,Description,Base XP,Badge
Наука,🔭 Астрономия и космос,🔭,1,Исследователь,El Sistema Solar,"Planetas, lunas, órbitas básicas",100,
Наука,🔭 Астрономия и космос,🔭,2,Исследователь,Estrellas y Constelaciones,"Tipos de estrellas, ciclo estelar",100,
Наука,🔭 Астрономия и космос,🔭,3,Исследователь,La Luna y las Mareas,"Fases lunares, influencia terrestre",100,🥉 Бронзовый значок
Наука,🔭 Астрономия и космос,🔭,4,Ученик,Galaxias y Nebulosas,"Vía Láctea, tipos de galaxias",200,
Наука,🔭 Астрономия и космос,🔭,5,Ученик,Exploración Espacial,Historia de la carrera espacial,200,
Наука,🔭 Астрономия и космос,🔭,6,Ученик,Agujeros Negros,"Formación, horizonte de eventos",200,🥈 Серебряный значок
Наука,🔭 Астрономия и космос,🔭,7,Ценитель,Cosmología del Big Bang,"Origen del universo, radiación cósmica",350,
Наука,🔭 Астрономия и космос,🔭,8,Ценитель,Exoplanetas y Vida,"Zona habitable, búsqueda de vida",350,🥇 Золотой значок
Наука,🔭 Астрономия и космос,🔭,9,Эксперт,Materia y Energía Oscura,Composición oculta del universo,500,
Наука,🔭 Астрономия и космос,🔭,10,Эксперт,El Futuro del Cosmos,"Destino del universo, teorías finales",500,💎 Бриллиантовый значок
История,🏛️ Древняя история,🏛️,1,Исследователь,Mesopotamia: Cuna de la Civilización,"Sumerios, escritura cuneiforme",100,
История,🏛️ Древняя история,🏛️,2,Исследователь,Egipto: El Nilo y los Faraones,"Pirámides, momificación, jeroglíficos",100,
История,🏛️ Древняя история,🏛️,3,Исследователь,Grecia: Democracia y Filosofía,"Atenas, Esparta, pensadores",100,🥉 Бронзовый значок
История,🏛️ Древняя история,🏛️,4,Ученик,Roma: República e Imperio,"Legiones, ingeniería, derecho romano",200,
История,🏛️ Древняя история,🏛️,5,Ученик,China: Dinastías Imperiales,"Gran Muralla, Ruta de la Seda",200,
История,🏛️ Древняя история,🏛️,6,Ученик,India: Civilización del Indo,"Harappa, vedas, castas",200,🥈 Серебряный значок
История,🏛️ Древняя история,🏛️,7,Ценитель,Persia y los Grandes Imperios,"Ciro, Darío, guerras médicas",350,
История,🏛️ Древняя история,🏛️,8,Ценитель,Civilizaciones Precolombinas,"Maya, Azteca, Inca",350,🥇 Золотой значок
История,🏛️ Древняя история,🏛️,9,Эксперт,Caída de los Imperios,Patrones de colapso civilizatorio,500,
История,🏛️ Древняя история,🏛️,10,Эксперт,Legado Antiguo en el Mundo Moderno,Influencias actuales del mundo antiguo,500,💎 Бриллиантовый значок
Наука,🧠 Нейронаука,🧠,1,Исследователь,El Cerebro: Mapa Básico,"Lóbulos, hemisferios, funciones",100,
Наука,🧠 Нейронаука,🧠,2,Исследователь,Neuronas y Sinapsis,Comunicación neuronal básica,100,
Наука,🧠 Нейронаука,🧠,3,Исследователь,Los Sentidos,Cómo el cerebro procesa el mundo,100,🥉 Бронзовый значок
Наука,🧠 Нейронаука,🧠,4,Ученик,Memoria y Aprendizaje,"Tipos de memoria, neuroplasticidad",200,
Наука,🧠 Нейронаука,🧠,5,Ученик,Emociones y el Cerebro,"Sistema límbico, amígdala",200,
Наука,🧠 Нейронаука,🧠,6,Ученик,El Sueño y los Sueños,"Ciclos REM, función reparadora",200,🥈 Серебряный значок
