Category,Subject,Icon,Episode No,Level,Episode Title,Description,Base XP,Badge
Scienza,🔭 Astronomia e Spazio,🔭,1,Esploratore,El Sistema Solar,"Planetas, lunas, órbitas básicas",100,
Scienza,🔭 Astronomia e Spazio,🔭,2,Esploratore,Estrellas y Constelaciones,"Tipos de estrellas, ciclo estelar",100,
Scienza,🔭 Astronomia e Spazio,🔭,3,Esploratore,La Luna y las Mareas,"Fases lunares, influencia terrestre",100,🥉 Distintivo di Bronzo
Scienza,🔭 Astronomia e Spazio,🔭,4,Apprendista,Galaxias y Nebulosas,"Vía Láctea, tipos de galaxias",200,
Scienza,🔭 Astronomia e Spazio,🔭,5,Apprendista,Exploración Espacial,Historia de la carrera espacial,200,
Scienza,🔭 Astronomia e Spazio,🔭,6,Apprendista,Agujeros Negros,"Formación, horizonte de eventos",200,🥈 Distintivo d'Argento
Scienza,🔭 Astronomia e Spazio,🔭,7,Intenditore,Cosmología del Big Bang,"Origen del universo, radiación cósmica",350,
Scienza,🔭 Astronomia e Spazio,🔭,8,Intenditore,Exoplanetas y Vida,"Zona habitable, búsqueda de vida",350,🥇 Distintivo d'Oro
Scienza,🔭 Astronomia e Spazio,🔭,9,Esperto,Materia y Energía Oscura,Composición oculta del universo,500,
Scienza,🔭 Astronomia e Spazio,🔭,10,Esperto,El Futuro del Cosmos,"Destino del universo, teorías finales",500,💎 Distintivo di Diamante
Storia,🏛️ Storia Antica,🏛️,1,Esploratore,Mesopotamia: Cuna de la Civilización,"Sumerios, escritura cuneiforme",100,
Storia,🏛️ Storia Antica,🏛️,2,Esploratore,Egipto: El Nilo y los Faraones,"Pirámides, momificación, jeroglíficos",100,
Storia,🏛️ Storia Antica,🏛️,3,Esploratore,Grecia: Democracia y Filosofía,"Atenas, Esparta, pensadores",100,🥉 Distintivo di Bronzo
Storia,🏛️ Storia Antica,🏛️,4,Apprendista,Roma: República e Imperio,"Legiones, ingeniería, derecho romano",200,
Storia,🏛️ Storia Antica,🏛️,5,Apprendista,China: Dinastías Imperiales,"Gran Muralla, Ruta de la Seda",200,
Storia,🏛️ Storia Antica,🏛️,6,Apprendista,India: Civilización del Indo,"Harappa, vedas, castas",200,🥈 Distintivo d'Argento
Storia,🏛️ Storia Antica,🏛️,7,Intenditore,Persia y los Grandes Imperios,"Ciro, Darío, guerras médicas",350,
Storia,🏛️ Storia Antica,🏛️,8,Intenditore,Civilizaciones Precolombinas,"Maya, Azteca, Inca",350,🥇 Distintivo d'Oro
Storia,🏛️ Storia Antica,🏛️,9,Esperto,Caída de los Imperios,Patrones de colapso civilizatorio,500,
Storia,🏛️ Storia Antica,🏛️,10,Esperto,Legado Antiguo en el Mundo Moderno,Influencias actuales del mundo antiguo,500,💎 Distintivo di Diamante
Scienza,🧠 Neuroscienze,🧠,1,Esploratore,El Cerebro: Mapa Básico,"Lóbulos, hemisferios, funciones",100,
Scienza,🧠 Neuroscienze,🧠,2,Esploratore,Neuronas y Sinapsis,Comunicación neuronal básica,100,
Scienza,🧠 Neuroscienze,🧠,3,Esploratore,Los Sentidos,Cómo el cerebro procesa el mundo,100,🥉 Distintivo di Bronzo
Scienza,🧠 Neuroscienze,🧠,4,Apprendista,Memoria y Aprendizaje,"Tipos de memoria, neuroplasticidad",200,
Scienza,🧠 Neuroscienze,🧠,5,Apprendista,Emociones y el Cerebro,"Sistema límbico, amígdala",200,
Scienza,🧠 Neuroscienze,🧠,6,Apprendista,El Sueño y los Sueños,"Ciclos REM, función reparadora",200,🥈 Distintivo d'Argento
Scienza,🧠 Neuroscienze,🧠,7,Intenditore,Neuroquímica,"Dopamina, serotonina, endorfinas",350,
Scienza,🧠 Neuroscienze,🧠,8,Intenditore,Trastornos Neurológicos,"Alzheimer, Parkinson, epilepsia",350,🥇 Distintivo d'Oro
Scienza,🧠 Neuroscienze,🧠,9,Esperto,Conciencia y Libre Albedrío,El misterio de la conciencia,500,
Scienza,🧠 Neuroscienze,🧠,10,Esperto,Neurotecnología del Futuro,"Interfaces cerebro-máquina, IA neural",500,💎 Distintivo di Diamante
Tecnologia,🤖 Inteligencia Artificial,🤖,1,Esploratore,¿Qué es la IA?,"Conceptos básicos, historia",100,
