Category,Subject,Icon,Episode No,Level,Episode Title,Description,Base XP,Badge
Science,🔭 Astronomie et Espace,🔭,1,Explorateur,El Sistema Solar,"Planetas, lunas, órbitas básicas",100,
Science,🔭 Astronomie et Espace,🔭,2,Explorateur,Estrellas y Constelaciones,"Tipos de estrellas, ciclo estelar",100,
Science,🔭 Astronomie et Espace,🔭,3,Explorateur,La Luna y las Mareas,"Fases lunares, influencia terrestre",100,🥉 Badge de Bronze
Science,🔭 Astronomie et Espace,🔭,4,Apprenti,Galaxias y Nebulosas,"Vía Láctea, tipos de galaxias",200,
Science,🔭 Astronomie et Espace,🔭,5,Apprenti,Exploración Espacial,Historia de la carrera espacial,200,
Science,🔭 Astronomie et Espace,🔭,6,Apprenti,Agujeros Negros,"Formación, horizonte de eventos",200,🥈 Badge d'Argent
Science,🔭 Astronomie et Espace,🔭,7,Connaisseur,Cosmología del Big Bang,"Origen del universo, radiación cósmica",350,
Science,🔭 Astronomie et Espace,🔭,8,Connaisseur,Exoplanetas y Vida,"Zona habitable, búsqueda de vida",350,🥇 Badge d'Or
Science,🔭 Astronomie et Espace,🔭,9,Expert,Materia y Energía Oscura,Composición oculta del universo,500,
Science,🔭 Astronomie et Espace,🔭,10,Expert,El Futuro del Cosmos,"Destino del universo, teorías finales",500,💎 Badge de Diamant
Histoire,🏛️ Histoire Ancienne,🏛️,1,Explorateur,Mesopotamia: Cuna de la Civilización,"Sumerios, escritura cuneiforme",100,
Histoire,🏛️ Histoire Ancienne,🏛️,2,Explorateur,Egipto: El Nilo y los Faraones,"Pirámides, momificación, jeroglíficos",100,
Histoire,🏛️ Histoire Ancienne,🏛️,3,Explorateur,Grecia: Democracia y Filosofía,"Atenas, Esparta, pensadores",100,🥉 Badge de Bronze
Histoire,🏛️ Histoire Ancienne,🏛️,4,Apprenti,Roma: República e Imperio,"Legiones, ingeniería, derecho romano",200,
Histoire,🏛️ Histoire Ancienne,🏛️,5,Apprenti,China: Dinastías Imperiales,"Gran Muralla, Ruta de la Seda",200,
Histoire,🏛️ Histoire Ancienne,🏛️,6,Apprenti,India: Civilización del Indo,"Harappa, vedas, castas",200,🥈 Badge d'Argent
Histoire,🏛️ Histoire Ancienne,🏛️,7,Connaisseur,Persia y los Grandes Imperios,"Ciro, Darío, guerras médicas",350,
Histoire,🏛️ Histoire Ancienne,🏛️,8,Connaisseur,Civilizaciones Precolombinas,"Maya, Azteca, Inca",350,🥇 Badge d'Or
Histoire,🏛️ Histoire Ancienne,🏛️,9,Expert,Caída de los Imperios,Patrones de colapso civilizatorio,500,
Histoire,🏛️ Histoire Ancienne,🏛️,10,Expert,Legado Antiguo en el Mundo Moderno,Influencias actuales del mundo antiguo,500,💎 Badge de Diamant
Science,🧠 Neuroscience,🧠,1,Explorateur,El Cerebro: Mapa Básico,"Lóbulos, hemisferios, funciones",100,
Science,🧠 Neuroscience,🧠,2,Explorateur,Neuronas y Sinapsis,Comunicación neuronal básica,100,
Science,🧠 Neuroscience,🧠,3,Explorateur,Los Sentidos,Cómo el cerebro procesa el mundo,100,🥉 Badge de Bronze
Science,🧠 Neuroscience,🧠,4,Apprenti,Memoria y Aprendizaje,"Tipos de memoria, neuroplasticidad",200,
Science,🧠 Neuroscience,🧠,5,Apprenti,Emociones y el Cerebro,"Sistema límbico, amígdala",200,
Science,🧠 Neuroscience,🧠,6,Apprenti,El Sueño y los Sueños,"Ciclos REM, función reparadora",200,🥈 Badge d'Argent
Science,🧠 Neuroscience,🧠,7,Connaisseur,Neuroquímica,"Dopamina, serotonina, endorfinas",350,
Science,🧠 Neuroscience,🧠,8,Connaisseur,Trastornos Neurológicos,"Alzheimer, Parkinson, epilepsia",350,🥇 Badge d'Or
Science,🧠 Neuroscience,🧠,9,Expert,Conciencia y Libre Albedrío,El misterio de la conciencia,500,
Science,🧠 Neuroscience,🧠,10,Expert,Neurotecnología del Futuro,"Interfaces cerebro-máquina, IA neural",500,💎 Badge de Diamant
Technologie,🤖 Inteligencia Artificial,🤖,1,Explorateur,¿Qué es la IA?,"Conceptos básicos, historia",100,
Technologie,🤖 Inteligencia Artificial,🤖,2,Explorateur,Machine Learning 101,Aprendizaje supervisado y no supervisado,100,
Technologie,🤖 Inteligencia Artificial,🤖,3,Explorateur,Redes Neuronales,Cómo aprende una máquina,100,🥉 Badge de Bronze
Technologie,🤖 Inteligencia Artificial,🤖,4,Apprenti,Procesamiento del Lenguaje,"NLP, chatbots, traducción",200,
Technologie,🤖 Inteligencia Artificial,🤖,5,Apprenti,Visión por Computador,Reconocimiento de imágenes,200,
Technologie,🤖 Inteligencia Artificial,🤖,6,Apprenti,IA Generativa,"GPT, DALL-E, creación de contenido",200,🥈 Badge d'Argent
Technologie,🤖 Inteligencia Artificial,🤖,7,Connaisseur,IA en la Industria,"Aplicaciones reales, transformación",350,
Technologie,🤖 Inteligencia Artificial,🤖,8,Connaisseur,Ética de la IA,"Sesgos, privacidad, regulación",350,🥇 Badge d'Or
Technologie,🤖 Inteligencia Artificial,🤖,9,Expert,IA General (AGI),Camino hacia la superinteligencia,500,
Technologie,🤖 Inteligencia Artificial,🤖,10,Expert,El Futuro IA-Humano,"Coexistencia, singularidad tecnológica",500,💎 Badge de Diamant
Société,💰 Economía y Finanzas,💰,1,Explorateur,Oferta y Demanda,Principios básicos del mercado,100,
Société,💰 Economía y Finanzas,💰,2,Explorateur,El Dinero y la Banca,"Historia del dinero, sistema bancario",100,
Société,💰 Economía y Finanzas,💰,3,Explorateur,Inflación y Precios,Por qué sube el coste de la vida,100,🥉 Badge de Bronze
Société,💰 Economía y Finanzas,💰,4,Apprenti,Mercados Bursátiles,"Bolsa, acciones, índices",200,
Société,💰 Economía y Finanzas,💰,5,Apprenti,Comercio Internacional,"Globalización, aranceles, tratados",200,
Société,💰 Economía y Finanzas,💰,6,Apprenti,Criptomonedas y Blockchain,"Bitcoin, tecnología descentralizada",200,🥈 Badge d'Argent
Société,💰 Economía y Finanzas,💰,7,Connaisseur,Crisis Económicas,"Grandes recesiones, patrones",350,
Société,💰 Economía y Finanzas,💰,8,Connaisseur,Política Monetaria,"Bancos centrales, tipos de interés",350,🥇 Badge d'Or
Société,💰 Economía y Finanzas,💰,9,Expert,Economía Conductual,Psicología de las decisiones financieras,500,
Société,💰 Economía y Finanzas,💰,10,Expert,El Futuro de la Economía,"Post-capitalismo, economía circular",500,💎 Badge de Diamant
Nature,🐋 Biología Marina,🐋,1,Explorateur,Los Océanos del Mundo,"Geografía oceánica, corrientes",100,
Nature,🐋 Biología Marina,🐋,2,Explorateur,Arrecifes de Coral,"Ecosistemas submarinos, biodiversidad",100,
Nature,🐋 Biología Marina,🐋,3,Explorateur,Grandes Mamíferos Marinos,"Ballenas, delfines, comunicación",100,🥉 Badge de Bronze
