Category,Subject,Icon,Episode No,Level,Episode Title,Description,Base XP,Badge
科学,🔭 天文学と宇宙,🔭,1,探検家,El Sistema Solar,"Planetas, lunas, órbitas básicas",100,
科学,🔭 天文学と宇宙,🔭,2,探検家,Estrellas y Constelaciones,"Tipos de estrellas, ciclo estelar",100,
科学,🔭 天文学と宇宙,🔭,3,探検家,La Luna y las Mareas,"Fases lunares, influencia terrestre",100,🥉 ブロンズバッジ
科学,🔭 天文学と宇宙,🔭,4,見習い,Galaxias y Nebulosas,"Vía Láctea, tipos de galaxias",200,
科学,🔭 天文学と宇宙,🔭,5,見習い,Exploración Espacial,Historia de la carrera espacial,200,
科学,🔭 天文学と宇宙,🔭,6,見習い,Agujeros Negros,"Formación, horizonte de eventos",200,🥈 シルバーバッジ
科学,🔭 天文学と宇宙,🔭,7,鑑定家,Cosmología del Big Bang,"Origen del universo, radiación cósmica",350,
科学,🔭 天文学と宇宙,🔭,8,鑑定家,Exoplanetas y Vida,"Zona habitable, búsqueda de vida",350,🥇 ゴールドバッジ
科学,🔭 天文学と宇宙,🔭,9,エキスパート,Materia y Energía Oscura,Composición oculta del universo,500,
科学,🔭 天文学と宇宙,🔭,10,エキスパート,El Futuro del Cosmos,"Destino del universo, teorías finales",500,💎 ダイヤモンドバッジ
歴史,🏛️ 古代史,🏛️,1,探検家,Mesopotamia: Cuna de la Civilización,"Sumerios, escritura cuneiforme",100,
歴史,🏛️ 古代史,🏛️,2,探検家,Egipto: El Nilo y los Faraones,"Pirámides, momificación, jeroglíficos",100,
歴史,🏛️ 古代史,🏛️,3,探検家,Grecia: Democracia y Filosofía,"Atenas, Esparta, pensadores",100,🥉 ブロンズバッジ
歴史,🏛️ 古代史,🏛️,4,見習い,Roma: República e Imperio,"Legiones, ingeniería, derecho romano",200,
歴史,🏛️ 古代史,🏛️,5,見習い,China: Dinastías Imperiales,"Gran Muralla, Ruta de la Seda",200,
歴史,🏛️ 古代史,🏛️,6,見習い,India: Civilización del Indo,"Harappa, vedas, castas",200,🥈 シルバーバッジ
歴史,🏛️ 古代史,🏛️,7,鑑定家,Persia y los Grandes Imperios,"Ciro, Darío, guerras médicas",350,
歴史,🏛️ 古代史,🏛️,8,鑑定家,Civilizaciones Precolombinas,"Maya, Azteca, Inca",350,🥇 ゴールドバッジ
歴史,🏛️ 古代史,🏛️,9,エキスパート,Caída de los Imperios,Patrones de colapso civilizatorio,500,
歴史,🏛️ 古代史,🏛️,10,エキスパート,Legado Antiguo en el Mundo Moderno,Influencias actuales del mundo antiguo,500,💎 ダイヤモンドバッジ
科学,🧠 神経科学,🧠,1,探検家,El Cerebro: Mapa Básico,"Lóbulos, hemisferios, funciones",100,
科学,🧠 神経科学,🧠,2,探検家,Neuronas y Sinapsis,Comunicación neuronal básica,100,
科学,🧠 神経科学,🧠,3,探検家,Los Sentidos,Cómo el cerebro procesa el mundo,100,🥉 ブロンズバッジ
科学,🧠 神経科学,🧠,4,見習い,Memoria y Aprendizaje,"Tipos de memoria, neuroplasticidad",200,
科学,🧠 神経科学,🧠,5,見習い,Emociones y el Cerebro,"Sistema límbico, amígdala",200,
科学,🧠 神経科学,🧠,6,見習い,El Sueño y los Sueños,"Ciclos REM, función reparadora",200,🥈 シルバーバッジ
科学,🧠 神経科学,🧠,7,鑑定家,Neuroquímica,"Dopamina, serotonina, endorfinas",350,
科学,🧠 神経科学,🧠,8,鑑定家,Trastornos Neurológicos,"Alzheimer, Parkinson, epilepsia",350,🥇 ゴールドバッジ
科学,🧠 神経科学,🧠,9,エキスパート,Conciencia y Libre Albedrío,El misterio de la conciencia,500,
科学,🧠 神経科学,🧠,10,エキスパート,Neurotecnología del Futuro,"Interfaces cerebro-máquina, IA neural",500,💎 ダイヤモンドバッジ
技術,🤖 Inteligencia Artificial,🤖,1,探検家,¿Qué es la IA?,"Conceptos básicos, historia",100,
技術,🤖 Inteligencia Artificial,🤖,2,探検家,Machine Learning 101,Aprendizaje supervisado y no supervisado,100,
技術,🤖 Inteligencia Artificial,🤖,3,探検家,Redes Neuronales,Cómo aprende una máquina,100,🥉 ブロンズバッジ
技術,🤖 Inteligencia Artificial,🤖,4,見習い,Procesamiento del Lenguaje,"NLP, chatbots, traducción",200,
技術,🤖 Inteligencia Artificial,🤖,5,見習い,Visión por Computador,Reconocimiento de imágenes,200,
技術,🤖 Inteligencia Artificial,🤖,6,見習い,IA Generativa,"GPT, DALL-E, creación de contenido",200,🥈 シルバーバッジ
技術,🤖 Inteligencia Artificial,🤖,7,鑑定家,IA en la Industria,"Aplicaciones reales, transformación",350,
技術,🤖 Inteligencia Artificial,🤖,8,鑑定家,Ética de la IA,"Sesgos, privacidad, regulación",350,🥇 ゴールドバッジ
技術,🤖 Inteligencia Artificial,🤖,9,エキスパート,IA General (AGI),Camino hacia la superinteligencia,500,
技術,🤖 Inteligencia Artificial,🤖,10,エキスパート,El Futuro IA-Humano,"Coexistencia, singularidad tecnológica",500,💎 ダイヤモンドバッジ
社会,💰 Economía y Finanzas,💰,1,探検家,Oferta y Demanda,Principios básicos del mercado,100,
社会,💰 Economía y Finanzas,💰,2,探検家,El Dinero y la Banca,"Historia del dinero, sistema bancario",100,
社会,💰 Economía y Finanzas,💰,3,探検家,Inflación y Precios,Por qué sube el coste de la vida,100,🥉 ブロンズバッジ
社会,💰 Economía y Finanzas,💰,4,見習い,Mercados Bursátiles,"Bolsa, acciones, índices",200,
社会,💰 Economía y Finanzas,💰,5,見習い,Comercio Internacional,"Globalización, aranceles, tratados",200,
社会,💰 Economía y Finanzas,💰,6,見習い,Criptomonedas y Blockchain,"Bitcoin, tecnología descentralizada",200,🥈 シルバーバッジ
社会,💰 Economía y Finanzas,💰,7,鑑定家,Crisis Económicas,"Grandes recesiones, patrones",350,
社会,💰 Economía y Finanzas,💰,8,鑑定家,Política Monetaria,"Bancos centrales, tipos de interés",350,🥇 ゴールドバッジ
社会,💰 Economía y Finanzas,💰,9,エキスパート,Economía Conductual,Psicología de las decisiones financieras,500,
社会,💰 Economía y Finanzas,💰,10,エキスパート,El Futuro de la Economía,"Post-capitalismo, economía circular",500,💎 ダイヤモンドバッジ
自然,🐋 Biología Marina,🐋,1,探検家,Los Océanos del Mundo,"Geografía oceánica, corrientes",100,
自然,🐋 Biología Marina,🐋,2,探検家,Arrecifes de Coral,"Ecosistemas submarinos, biodiversidad",100,
自然,🐋 Biología Marina,🐋,3,探検家,Grandes Mamíferos Marinos,"Ballenas, delfines, comunicación",100,🥉 ブロンズバッジ
自然,🐋 Biología Marina,🐋,4,見習い,El Abismo: Vida en las Profundidades,"Criaturas abisales, bioluminiscencia",200,
自然,🐋 Biología Marina,🐋,5,見習い,Tiburones: Depredadores del Mar,"Especies, mitos y realidades",200,
自然,🐋 Biología Marina,🐋,6,見習い,Migraciones Oceánicas,"Rutas, instintos, supervivencia",200,🥈 シルバーバッジ
自然,🐋 Biología Marina,🐋,7,鑑定家,Contaminación Marina,"Plásticos, acidificación, soluciones",350,
自然,🐋 Biología Marina,🐋,8,鑑定家,Oceanografía y Clima,El océano como regulador climático,350,🥇 ゴールドバッジ
自然,🐋 Biología Marina,🐋,9,エキスパート,Biología Molecular Marina,Genética de organismos marinos,500,
自然,🐋 Biología Marina,🐋,10,エキスパート,El Océano del Futuro,"Conservación, explotación sostenible",500,💎 ダイヤモンドバッジ
社会,🧩 Psicología Humana,🧩,1,探検家,Introducción a la Psicología,"Corrientes, Freud, conductismo",100,
社会,🧩 Psicología Humana,🧩,2,探検家,Personalidad y Temperamento,"Big Five, tipos psicológicos",100,
社会,🧩 Psicología Humana,🧩,3,探検家,Percepción y Atención,"Ilusiones, sesgos perceptivos",100,🥉 ブロンズバッジ
社会,🧩 Psicología Humana,🧩,4,見習い,Psicología Social,"Conformidad, obediencia, grupos",200,
社会,🧩 Psicología Humana,🧩,5,見習い,Motivación y Hábitos,"Ciclos de hábitos, motivación intrínseca",200,
社会,🧩 Psicología Humana,🧩,6,見習い,Toma de Decisiones,"Heurísticas, sesgos cognitivos",200,🥈 シルバーバッジ
社会,🧩 Psicología Humana,🧩,7,鑑定家,Psicología del Desarrollo,"Infancia a vejez, etapas clave",350,
社会,🧩 Psicología Humana,🧩,8,鑑定家,Trastornos Mentales,"Ansiedad, depresión, esquizofrenia",350,🥇 ゴールドバッジ
社会,🧩 Psicología Humana,🧩,9,エキスパート,Psicología Positiva,"Flow, resiliencia, bienestar",500,
社会,🧩 Psicología Humana,🧩,10,エキスパート,Manipulación y Persuasión,"Técnicas, propaganda, defensa crítica",500,💎 ダイヤモンドバッジ
科学,⚛️ Física Fundamental,⚛️,1,探検家,Las Leyes de Newton,"Movimiento, fuerza, gravedad",100,
科学,⚛️ Física Fundamental,⚛️,2,探検家,Energía y Termodinámica,"Conservación, calor, entropía",100,
科学,⚛️ Física Fundamental,⚛️,3,探検家,Ondas y Sonido,"Vibraciones, frecuencia, música",100,🥉 ブロンズバッジ
科学,⚛️ Física Fundamental,⚛️,4,見習い,Electricidad y Magnetismo,"Campos, corriente, Maxwell",200,
科学,⚛️ Física Fundamental,⚛️,5,見習い,Relatividad de Einstein,"Espacio-tiempo, E=mc²",200,
科学,⚛️ Física Fundamental,⚛️,6,見習い,Física Nuclear,"Átomos, radiactividad, fisión",200,🥈 シルバーバッジ
科学,⚛️ Física Fundamental,⚛️,7,鑑定家,Mecánica Cuántica,"Dualidad onda-partícula, incertidumbre",350,
科学,⚛️ Física Fundamental,⚛️,8,鑑定家,Partículas Subatómicas,"Quarks, bosón de Higgs, modelo estándar",350,🥇 ゴールドバッジ
科学,⚛️ Física Fundamental,⚛️,9,エキスパート,Teoría de Cuerdas,"Dimensiones extra, unificación",500,
科学,⚛️ Física Fundamental,⚛️,10,エキスパート,Los Misterios Sin Resolver,"Gravedad cuántica, multiverso",500,💎 ダイヤモンドバッジ
人文科学,💭 Filosofía,💭,1,探検家,Sócrates y el Arte de Preguntar,"Método socrático, mayéutica",100,
人文科学,💭 Filosofía,💭,2,探検家,Platón y las Ideas,"Mundo ideal, alegoría de la caverna",100,
人文科学,💭 Filosofía,💭,3,探検家,Aristóteles: Lógica y Ética,"Silogismo, virtud, eudaimonía",100,🥉 ブロンズバッジ
人文科学,💭 Filosofía,💭,4,見習い,Filosofía Medieval,"San Agustín, Santo Tomás, fe y razón",200,
人文科学,💭 Filosofía,💭,5,見習い,Racionalismo vs Empirismo,"Descartes, Hume, conocimiento",200,
人文科学,💭 Filosofía,💭,6,見習い,Kant y la Ilustración,"Imperativo categórico, crítica",200,🥈 シルバーバッジ
人文科学,💭 Filosofía,💭,7,鑑定家,Existencialismo,"Nietzsche, Sartre, libertad radical",350,
人文科学,💭 Filosofía,💭,8,鑑定家,Filosofía Oriental,"Confucio, Buda, Lao-Tse",350,🥇 ゴールドバッジ
人文科学,💭 Filosofía,💭,9,エキスパート,Filosofía del Lenguaje y la Mente,"Wittgenstein, conciencia, IA",500,
人文科学,💭 Filosofía,💭,10,エキスパート,Ética Contemporánea,"Bioética, justicia global, transhumanismo",500,💎 ダイヤモンドバッジ
科学,🧬 Evolución y Genética,🧬,1,探検家,Darwin y la Selección Natural,"Teoría de la evolución, Galápagos",100,
科学,🧬 Evolución y Genética,🧬,2,探検家,ADN: El Código de la Vida,"Estructura, genes, cromosomas",100,
科学,🧬 Evolución y Genética,🧬,3,探検家,Herencia y Mendel,"Leyes de la herencia, rasgos",100,🥉 ブロンズバッジ
科学,🧬 Evolución y Genética,🧬,4,見習い,Evolución Humana,Australopithecus a Homo sapiens,200,
科学,🧬 Evolución y Genética,🧬,5,見習い,Mutaciones y Adaptación,Motor del cambio evolutivo,200,
科学,🧬 Evolución y Genética,🧬,6,見習い,Extinción y Especiación,"Extinciones masivas, nueva vida",200,🥈 シルバーバッジ
科学,🧬 Evolución y Genética,🧬,7,鑑定家,Genómica y Proteómica,"Proyecto Genoma, secuenciación",350,
科学,🧬 Evolución y Genética,🧬,8,鑑定家,Epigenética,Genes que se encienden y apagan,350,🥇 ゴールドバッジ
科学,🧬 Evolución y Genética,🧬,9,エキスパート,CRISPR y Edición Genética,"Terapia génica, bebés diseñados",500,
科学,🧬 Evolución y Genética,🧬,10,エキスパート,Biología Sintética,"Crear vida artificial, futuro genético",500,💎 ダイヤモンドバッジ
社会,🌍 Geopolítica Mundial,🌍,1,探検家,¿Qué es la Geopolítica?,"Conceptos, poder, territorios",100,
社会,🌍 Geopolítica Mundial,🌍,2,探検家,Las Grandes Potencias,"EE.UU., China, Rusia, UE",100,
社会,🌍 Geopolítica Mundial,🌍,3,探検家,Conflictos Territoriales,"Fronteras disputadas, recursos",100,🥉 ブロンズバッジ
社会,🌍 Geopolítica Mundial,🌍,4,見習い,La Guerra Fría,"Bipolaridad, proxy wars, caída del muro",200,
社会,🌍 Geopolítica Mundial,🌍,5,見習い,Oriente Medio,"Petróleo, religión, conflictos",200,
社会,🌍 Geopolítica Mundial,🌍,6,見習い,El Ascenso de China,"Ruta de la Seda, influencia global",200,🥈 シルバーバッジ
社会,🌍 Geopolítica Mundial,🌍,7,鑑定家,Organizaciones Internacionales,"ONU, OTAN, G20, poder blando",350,
社会,🌍 Geopolítica Mundial,🌍,8,鑑定家,Ciberguerra y Espionaje,"Guerra híbrida, desinformación",350,🥇 ゴールドバッジ
社会,🌍 Geopolítica Mundial,🌍,9,エキスパート,Recursos y Guerras del Futuro,"Agua, litio, tierras raras",500,
社会,🌍 Geopolítica Mundial,🌍,10,エキスパート,Nuevo Orden Mundial,"Multipolaridad, escenarios 2050",500,💎 ダイヤモンドバッジ
人文科学,🎨 Arte y Grandes Maestros,🎨,1,探検家,Arte Prehistórico y Antiguo,"Altamira, Egipto, Grecia",100,
人文科学,🎨 Arte y Grandes Maestros,🎨,2,探検家,El Renacimiento,"Da Vinci, Miguel Ángel, Botticelli",100,
人文科学,🎨 Arte y Grandes Maestros,🎨,3,探検家,Barroco y Clasicismo,"Caravaggio, Velázquez, Rembrandt",100,🥉 ブロンズバッジ
人文科学,🎨 Arte y Grandes Maestros,🎨,4,見習い,Impresionismo,"Monet, Renoir, luz y color",200,
人文科学,🎨 Arte y Grandes Maestros,🎨,5,見習い,Vanguardias del Siglo XX,"Picasso, Dalí, Kandinsky",200,
人文科学,🎨 Arte y Grandes Maestros,🎨,6,見習い,Arte Contemporáneo,"Pop Art, minimalismo, Banksy",200,🥈 シルバーバッジ
人文科学,🎨 Arte y Grandes Maestros,🎨,7,鑑定家,Fotografía como Arte,"Historia, maestros, revolución digital",350,
人文科学,🎨 Arte y Grandes Maestros,🎨,8,鑑定家,Grandes Museos del Mundo,"Louvre, MoMA, Prado, Hermitage",350,🥇 ゴールドバッジ
人文科学,🎨 Arte y Grandes Maestros,🎨,9,エキスパート,El Mercado del Arte,"Subastas, falsificaciones, inversión",500,
人文科学,🎨 Arte y Grandes Maestros,🎨,10,エキスパート,Arte y Tecnología: IA Creativa,"Arte generativo, NFTs, debate",500,💎 ダイヤモンドバッジ
自然,🌡️ Cambio Climático,🌡️,1,探検家,El Efecto Invernadero,"CO₂, gases, calentamiento",100,
自然,🌡️ Cambio Climático,🌡️,2,探検家,Historia del Clima en la Tierra,"Eras glaciales, ciclos naturales",100,
自然,🌡️ Cambio Climático,🌡️,3,探検家,Impacto Humano,"Industria, transporte, deforestación",100,🥉 ブロンズバッジ
自然,🌡️ Cambio Climático,🌡️,4,見習い,Deshielo y Nivel del Mar,"Polos, glaciares, ciudades en riesgo",200,
自然,🌡️ Cambio Climático,🌡️,5,見習い,Fenómenos Extremos,"Huracanes, sequías, olas de calor",200,
自然,🌡️ Cambio Climático,🌡️,6,見習い,Biodiversidad Amenazada,"Sexta extinción, ecosistemas en peligro",200,🥈 シルバーバッジ
自然,🌡️ Cambio Climático,🌡️,7,鑑定家,Energías Renovables,"Solar, eólica, hidrógeno verde",350,
自然,🌡️ Cambio Climático,🌡️,8,鑑定家,Acuerdos y Política Climática,"París, COP, compromisos nacionales",350,🥇 ゴールドバッジ
自然,🌡️ Cambio Climático,🌡️,9,エキスパート,Geoingeniería,"Soluciones radicales, riesgos",500,
自然,🌡️ Cambio Climático,🌡️,10,エキスパート,Escenarios 2050-2100,"Modelos climáticos, futuros posibles",500,💎 ダイヤモンドバッジ
歴史,🧭 Exploración y Aventura,🧭,1,探検家,Los Grandes Navegantes,"Colón, Magallanes, Vasco de Gama",100,
歴史,🧭 Exploración y Aventura,🧭,2,探検家,Conquista de los Polos,"Amundsen, Scott, Shackleton",100,
歴史,🧭 Exploración y Aventura,🧭,3,探検家,Exploradores del Mundo Antiguo,"Marco Polo, Ibn Battuta, Zheng He",100,🥉 ブロンズバッジ
歴史,🧭 Exploración y Aventura,🧭,4,見習い,La Carrera Espacial,"Gagarin, Apollo 11, MIR",200,
歴史,🧭 Exploración y Aventura,🧭,5,見習い,Expediciones Submarinas,"Cousteau, Mariana, océanos profundos",200,
歴史,🧭 Exploración y Aventura,🧭,6,見習い,Exploración de Selvas y Desiertos,"Amazonia, Sahara, expediciones perdidas",200,🥈 シルバーバッジ
歴史,🧭 Exploración y Aventura,🧭,7,鑑定家,Montañismo Extremo,"Everest, K2, historia alpina",350,
歴史,🧭 Exploración y Aventura,🧭,8,鑑定家,Arqueología Aventurera,"Tutankamón, Machu Picchu, Pompeya",350,🥇 ゴールドバッジ
歴史,🧭 Exploración y Aventura,🧭,9,エキスパート,Exploración Robótica,"Marte, drones submarinos, cuevas",500,
歴史,🧭 Exploración y Aventura,🧭,10,エキスパート,Próximas Fronteras,"Colonización espacial, océano profundo",500,💎 ダイヤモンドバッジ
健康,🥗 Nutrición y Alimentación,🥗,1,探検家,Macronutrientes,"Proteínas, carbohidratos, grasas",100,
健康,🥗 Nutrición y Alimentación,🥗,2,探検家,Vitaminas y Minerales,Micronutrientes esenciales,100,
健康,🥗 Nutrición y Alimentación,🥗,3,探検家,Digestión y Metabolismo,Cómo tu cuerpo procesa los alimentos,100,🥉 ブロンズバッジ
健康,🥗 Nutrición y Alimentación,🥗,4,見習い,Dietas del Mundo,"Mediterránea, asiática, nórdica",200,
健康,🥗 Nutrición y Alimentación,🥗,5,見習い,Mitos Nutricionales,Desmentir creencias falsas,200,
健康,🥗 Nutrición y Alimentación,🥗,6,見習い,Microbioma Intestinal,"Bacterias buenas, segundo cerebro",200,🥈 シルバーバッジ
健康,🥗 Nutrición y Alimentación,🥗,7,鑑定家,Nutrición Deportiva,"Rendimiento, suplementos, recuperación",350,
健康,🥗 Nutrición y Alimentación,🥗,8,鑑定家,Alimentos del Futuro,"Insectos, carne de laboratorio, algas",350,🥇 ゴールドバッジ
健康,🥗 Nutrición y Alimentación,🥗,9,エキスパート,Nutrigenómica,ADN y alimentación personalizada,500,
健康,🥗 Nutrición y Alimentación,🥗,10,エキスパート,Hambre Global y Sostenibilidad,"Seguridad alimentaria, soluciones",500,💎 ダイヤモンドバッジ
人文科学,🎵 Música: Historia y Teoría,🎵,1,探検家,Los Orígenes de la Música,"Instrumentos prehistóricos, primeras melodías",100,
人文科学,🎵 Música: Historia y Teoría,🎵,2,探検家,Música Clásica: Los Grandes,"Bach, Mozart, Beethoven",100,
人文科学,🎵 Música: Historia y Teoría,🎵,3,探検家,"Ritmo, Melodía y Armonía",Fundamentos de la teoría musical,100,🥉 ブロンズバッジ
人文科学,🎵 Música: Historia y Teoría,🎵,4,見習い,Jazz y Blues,"Nueva Orleans, improvisación, soul",200,
人文科学,🎵 Música: Historia y Teoría,🎵,5,見習い,Rock and Roll,"Elvis, Beatles, revolución cultural",200,
人文科学,🎵 Música: Historia y Teoría,🎵,6,見習い,Música Electrónica,"Sintetizadores, DJs, géneros",200,🥈 シルバーバッジ
人文科学,🎵 Música: Historia y Teoría,🎵,7,鑑定家,Música del Mundo,"Flamenco, raga, samba, gamelan",350,
人文科学,🎵 Música: Historia y Teoría,🎵,8,鑑定家,La Industria Musical,"Discográficas, streaming, negocio",350,🥇 ゴールドバッジ
