Category,Subject,Icon,Episode No,Level,Episode Title,Description,Base XP,Badge
Ciência,🔭 Astronomia e Espaço,🔭,1,Explorador,El Sistema Solar,"Planetas, lunas, órbitas básicas",100,
Ciência,🔭 Astronomia e Espaço,🔭,2,Explorador,Estrellas y Constelaciones,"Tipos de estrellas, ciclo estelar",100,
Ciência,🔭 Astronomia e Espaço,🔭,3,Explorador,La Luna y las Mareas,"Fases lunares, influencia terrestre",100,🥉 Insígnia de Bronze
Ciência,🔭 Astronomia e Espaço,🔭,4,Aprendiz,Galaxias y Nebulosas,"Vía Láctea, tipos de galaxias",200,
Ciência,🔭 Astronomia e Espaço,🔭,5,Aprendiz,Exploración Espacial,História de la carrera espacial,200,
Ciência,🔭 Astronomia e Espaço,🔭,6,Aprendiz,Agujeros Negros,"Formación, horizonte de eventos",200,🥈 Insígnia de Prata
Ciência,🔭 Astronomia e Espaço,🔭,7,Conhecedor,Cosmología del Big Bang,"Origen del universo, radiación cósmica",350,
Ciência,🔭 Astronomia e Espaço,🔭,8,Conhecedor,Exoplanetas y Vida,"Zona habitable, búsqueda de vida",350,🥇 Insígnia de Ouro
Ciência,🔭 Astronomia e Espaço,🔭,9,Especialista,Materia y Energía Oscura,Composición oculta del universo,500,
Ciência,🔭 Astronomia e Espaço,🔭,10,Especialista,El Futuro del Cosmos,"Destino del universo, teorías finales",500,💎 Insígnia de Diamante
História,🏛️ História Antiga,🏛️,1,Explorador,Mesopotamia: Cuna de la Civilización,"Sumerios, escritura cuneiforme",100,
História,🏛️ História Antiga,🏛️,2,Explorador,Egipto: El Nilo y los Faraones,"Pirámides, momificación, jeroglíficos",100,
História,🏛️ História Antiga,🏛️,3,Explorador,Grecia: Democracia y Filosofía,"Atenas, Esparta, pensadores",100,🥉 Insígnia de Bronze
História,🏛️ História Antiga,🏛️,4,Aprendiz,Roma: República e Imperio,"Legiones, ingeniería, derecho romano",200,
História,🏛️ História Antiga,🏛️,5,Aprendiz,China: Dinastías Imperiales,"Gran Muralla, Ruta de la Seda",200,
História,🏛️ História Antiga,🏛️,6,Aprendiz,India: Civilización del Indo,"Harappa, vedas, castas",200,🥈 Insígnia de Prata
História,🏛️ História Antiga,🏛️,7,Conhecedor,Persia y los Grandes Imperios,"Ciro, Darío, guerras médicas",350,
História,🏛️ História Antiga,🏛️,8,Conhecedor,Civilizaciones Precolombinas,"Maya, Azteca, Inca",350,🥇 Insígnia de Ouro
História,🏛️ História Antiga,🏛️,9,Especialista,Caída de los Imperios,Patrones de colapso civilizatorio,500,
História,🏛️ História Antiga,🏛️,10,Especialista,Legado Antiguo en el Mundo Moderno,Influencias actuales del mundo antiguo,500,💎 Insígnia de Diamante
Ciência,🧠 Neurociência,🧠,1,Explorador,El Cerebro: Mapa Básico,"Lóbulos, hemisferios, funciones",100,
Ciência,🧠 Neurociência,🧠,2,Explorador,Neuronas y Sinapsis,Comunicación neuronal básica,100,
Ciência,🧠 Neurociência,🧠,3,Explorador,Los Sentidos,Cómo el cerebro procesa el mundo,100,🥉 Insígnia de Bronze
Ciência,🧠 Neurociência,🧠,4,Aprendiz,Memoria y Aprendizaje,"Tipos de memoria, neuroplasticidad",200,
Ciência,🧠 Neurociência,🧠,5,Aprendiz,Emociones y el Cerebro,"Sistema límbico, amígdala",200,
Ciência,🧠 Neurociência,🧠,6,Aprendiz,El Sueño y los Sueños,"Ciclos REM, función reparadora",200,🥈 Insígnia de Prata
Ciência,🧠 Neurociência,🧠,7,Conhecedor,Neuroquímica,"Dopamina, serotonina, endorfinas",350,
Ciência,🧠 Neurociência,🧠,8,Conhecedor,Trastornos Neurológicos,"Alzheimer, Parkinson, epilepsia",350,🥇 Insígnia de Ouro
Ciência,🧠 Neurociência,🧠,9,Especialista,Conciencia y Libre Albedrío,El misterio de la conciencia,500,
Ciência,🧠 Neurociência,🧠,10,Especialista,Neurotecnología del Futuro,"Interfaces cerebro-máquina, IA neural",500,💎 Insígnia de Diamante
Tecnologia,🤖 Inteligencia Artificial,🤖,1,Explorador,¿Qué es la IA?,"Conceptos básicos, historia",100,
Tecnologia,🤖 Inteligencia Artificial,🤖,2,Explorador,Machine Learning 101,Aprendizaje supervisado y no supervisado,100,
Tecnologia,🤖 Inteligencia Artificial,🤖,3,Explorador,Redes Neuronales,Cómo aprende una máquina,100,🥉 Insígnia de Bronze
Tecnologia,🤖 Inteligencia Artificial,🤖,4,Aprendiz,Procesamiento del Lenguaje,"NLP, chatbots, traducción",200,
Tecnologia,🤖 Inteligencia Artificial,🤖,5,Aprendiz,Visión por Computador,Reconocimiento de imágenes,200,
Tecnologia,🤖 Inteligencia Artificial,🤖,6,Aprendiz,IA Generativa,"GPT, DALL-E, creación de contenido",200,🥈 Insígnia de Prata
Tecnologia,🤖 Inteligencia Artificial,🤖,7,Conhecedor,IA en la Industria,"Aplicaciones reales, transformación",350,
Tecnologia,🤖 Inteligencia Artificial,🤖,8,Conhecedor,Ética de la IA,"Sesgos, privacidad, regulación",350,🥇 Insígnia de Ouro
Tecnologia,🤖 Inteligencia Artificial,🤖,9,Especialista,IA General (AGI),Camino hacia la superinteligencia,500,
Tecnologia,🤖 Inteligencia Artificial,🤖,10,Especialista,El Futuro IA-Humano,"Coexistencia, singularidad tecnológica",500,💎 Insígnia de Diamante
Sociedade,💰 Economía y Finanzas,💰,1,Explorador,Oferta y Demanda,Principios básicos del mercado,100,
Sociedade,💰 Economía y Finanzas,💰,2,Explorador,El Dinero y la Banca,"História del dinero, sistema bancario",100,
Sociedade,💰 Economía y Finanzas,💰,3,Explorador,Inflación y Precios,Por qué sube el coste de la vida,100,🥉 Insígnia de Bronze
Sociedade,💰 Economía y Finanzas,💰,4,Aprendiz,Mercados Bursátiles,"Bolsa, acciones, índices",200,
Sociedade,💰 Economía y Finanzas,💰,5,Aprendiz,Comercio Internacional,"Globalización, aranceles, tratados",200,
Sociedade,💰 Economía y Finanzas,💰,6,Aprendiz,Criptomonedas y Blockchain,"Bitcoin, tecnología descentralizada",200,🥈 Insígnia de Prata
Sociedade,💰 Economía y Finanzas,💰,7,Conhecedor,Crisis Económicas,"Grandes recesiones, patrones",350,
Sociedade,💰 Economía y Finanzas,💰,8,Conhecedor,Política Monetaria,"Bancos centrales, tipos de interés",350,🥇 Insígnia de Ouro
Sociedade,💰 Economía y Finanzas,💰,9,Especialista,Economía Conductual,Psicología de las decisiones financieras,500,
Sociedade,💰 Economía y Finanzas,💰,10,Especialista,El Futuro de la Economía,"Post-capitalismo, economía circular",500,💎 Insígnia de Diamante
Natureza,🐋 Biología Marina,🐋,1,Explorador,Los Océanos del Mundo,"Geografía oceánica, corrientes",100,
Natureza,🐋 Biología Marina,🐋,2,Explorador,Arrecifes de Coral,"Ecosistemas submarinos, biodiversidad",100,
Natureza,🐋 Biología Marina,🐋,3,Explorador,Grandes Mamíferos Marinos,"Ballenas, delfines, comunicación",100,🥉 Insígnia de Bronze
Natureza,🐋 Biología Marina,🐋,4,Aprendiz,El Abismo: Vida en las Profundidades,"Criaturas abisales, bioluminiscencia",200,
Natureza,🐋 Biología Marina,🐋,5,Aprendiz,Tiburones: Depredadores del Mar,"Especies, mitos y realidades",200,
Natureza,🐋 Biología Marina,🐋,6,Aprendiz,Migraciones Oceánicas,"Rutas, instintos, supervivencia",200,🥈 Insígnia de Prata
Natureza,🐋 Biología Marina,🐋,7,Conhecedor,Contaminación Marina,"Plásticos, acidificación, soluciones",350,
Natureza,🐋 Biología Marina,🐋,8,Conhecedor,Oceanografía y Clima,El océano como regulador climático,350,🥇 Insígnia de Ouro
Natureza,🐋 Biología Marina,🐋,9,Especialista,Biología Molecular Marina,Genética de organismos marinos,500,
Natureza,🐋 Biología Marina,🐋,10,Especialista,El Océano del Futuro,"Conservación, explotación sostenible",500,💎 Insígnia de Diamante
Sociedade,🧩 Psicología Humana,🧩,1,Explorador,Introducción a la Psicología,"Corrientes, Freud, conductismo",100,
Sociedade,🧩 Psicología Humana,🧩,2,Explorador,Personalidad y Temperamento,"Big Five, tipos psicológicos",100,
Sociedade,🧩 Psicología Humana,🧩,3,Explorador,Percepción y Atención,"Ilusiones, sesgos perceptivos",100,🥉 Insígnia de Bronze
Sociedade,🧩 Psicología Humana,🧩,4,Aprendiz,Psicología Social,"Conformidad, obediencia, grupos",200,
Sociedade,🧩 Psicología Humana,🧩,5,Aprendiz,Motivación y Hábitos,"Ciclos de hábitos, motivación intrínseca",200,
Sociedade,🧩 Psicología Humana,🧩,6,Aprendiz,Toma de Decisiones,"Heurísticas, sesgos cognitivos",200,🥈 Insígnia de Prata
Sociedade,🧩 Psicología Humana,🧩,7,Conhecedor,Psicología del Desarrollo,"Infancia a vejez, etapas clave",350,
Sociedade,🧩 Psicología Humana,🧩,8,Conhecedor,Trastornos Mentales,"Ansiedad, depresión, esquizofrenia",350,🥇 Insígnia de Ouro
Sociedade,🧩 Psicología Humana,🧩,9,Especialista,Psicología Positiva,"Flow, resiliencia, bienestar",500,
