Category,Subject,Icon,Episode No,Level,Episode Title,Description,Base XP,Badge
Ciencia,🔭 Astronomía y Espacio,🔭,1,Explorador,El Sistema Solar,"Planetas, lunas, órbitas básicas",100,
Ciencia,🔭 Astronomía y Espacio,🔭,2,Explorador,Estrellas y Constelaciones,"Tipos de estrellas, ciclo estelar",100,
Ciencia,🔭 Astronomía y Espacio,🔭,3,Explorador,La Luna y las Mareas,"Fases lunares, influencia terrestre",100,🥉 Bronze Badge
Ciencia,🔭 Astronomía y Espacio,🔭,4,Aprendiz,Galaxias y Nebulosas,"Vía Láctea, tipos de galaxias",200,
Ciencia,🔭 Astronomía y Espacio,🔭,5,Aprendiz,Exploración Espacial,Historia de la carrera espacial,200,
Ciencia,🔭 Astronomía y Espacio,🔭,6,Aprendiz,Agujeros Negros,"Formación, horizonte de eventos",200,🥈 Silver Badge
Ciencia,🔭 Astronomía y Espacio,🔭,7,Conocedor,Cosmología del Big Bang,"Origen del universo, radiación cósmica",350,
Ciencia,🔭 Astronomía y Espacio,🔭,8,Conocedor,Exoplanetas y Vida,"Zona habitable, búsqueda de vida",350,🥇 Gold Badge
Ciencia,🔭 Astronomía y Espacio,🔭,9,Experto,Materia y Energía Oscura,Composición oculta del universo,500,
Ciencia,🔭 Astronomía y Espacio,🔭,10,Experto,El Futuro del Cosmos,"Destino del universo, teorías finales",500,💎 Diamond Badge
Historia,🏛️ Historia Antigua,🏛️,1,Explorador,Mesopotamia: Cuna de la Civilización,"Sumerios, escritura cuneiforme",100,
Historia,🏛️ Historia Antigua,🏛️,2,Explorador,Egipto: El Nilo y los Faraones,"Pirámides, momificación, jeroglíficos",100,
Historia,🏛️ Historia Antigua,🏛️,3,Explorador,Grecia: Democracia y Filosofía,"Atenas, Esparta, pensadores",100,🥉 Bronze Badge
Historia,🏛️ Historia Antigua,🏛️,4,Aprendiz,Roma: República e Imperio,"Legiones, ingeniería, derecho romano",200,
Historia,🏛️ Historia Antigua,🏛️,5,Aprendiz,China: Dinastías Imperiales,"Gran Muralla, Ruta de la Seda",200,
Historia,🏛️ Historia Antigua,🏛️,6,Aprendiz,India: Civilización del Indo,"Harappa, vedas, castas",200,🥈 Silver Badge
Historia,🏛️ Historia Antigua,🏛️,7,Conocedor,Persia y los Grandes Imperios,"Ciro, Darío, guerras médicas",350,
Historia,🏛️ Historia Antigua,🏛️,8,Conocedor,Civilizaciones Precolombinas,"Maya, Azteca, Inca",350,🥇 Gold Badge
Historia,🏛️ Historia Antigua,🏛️,9,Experto,Caída de los Imperios,Patrones de colapso civilizatorio,500,
Historia,🏛️ Historia Antigua,🏛️,10,Experto,Legado Antiguo en el Mundo Moderno,Influencias actuales del mundo antiguo,500,💎 Diamond Badge
Ciencia,🧠 Neurociencia,🧠,1,Explorador,El Cerebro: Mapa Básico,"Lóbulos, hemisferios, funciones",100,
Ciencia,🧠 Neurociencia,🧠,2,Explorador,Neuronas y Sinapsis,Comunicación neuronal básica,100,
Ciencia,🧠 Neurociencia,🧠,3,Explorador,Los Sentidos,Cómo el cerebro procesa el mundo,100,🥉 Bronze Badge
Ciencia,🧠 Neurociencia,🧠,4,Aprendiz,Memoria y Aprendizaje,"Tipos de memoria, neuroplasticidad",200,
Ciencia,🧠 Neurociencia,🧠,5,Aprendiz,Emociones y el Cerebro,"Sistema límbico, amígdala",200,
Ciencia,🧠 Neurociencia,🧠,6,Aprendiz,El Sueño y los Sueños,"Ciclos REM, función reparadora",200,🥈 Silver Badge
Ciencia,🧠 Neurociencia,🧠,7,Conocedor,Neuroquímica,"Dopamina, serotonina, endorfinas",350,
Ciencia,🧠 Neurociencia,🧠,8,Conocedor,Trastornos Neurológicos,"Alzheimer, Parkinson, epilepsia",350,🥇 Gold Badge
Ciencia,🧠 Neurociencia,🧠,9,Experto,Conciencia y Libre Albedrío,El misterio de la conciencia,500,
Ciencia,🧠 Neurociencia,🧠,10,Experto,Neurotecnología del Futuro,"Interfaces cerebro-máquina, IA neural",500,💎 Diamond Badge
Tecnología,🤖 Inteligencia Artificial,🤖,1,Explorador,¿Qué es la IA?,"Conceptos básicos, historia",100,
Tecnología,🤖 Inteligencia Artificial,🤖,2,Explorador,Machine Learning 101,Aprendizaje supervisado y no supervisado,100,
Tecnología,🤖 Inteligencia Artificial,🤖,3,Explorador,Redes Neuronales,Cómo aprende una máquina,100,🥉 Bronze Badge
Tecnología,🤖 Inteligencia Artificial,🤖,4,Aprendiz,Procesamiento del Lenguaje,"NLP, chatbots, traducción",200,
Tecnología,🤖 Inteligencia Artificial,🤖,5,Aprendiz,Visión por Computador,Reconocimiento de imágenes,200,
Tecnología,🤖 Inteligencia Artificial,🤖,6,Aprendiz,IA Generativa,"GPT, DALL-E, creación de contenido",200,🥈 Silver Badge
Tecnología,🤖 Inteligencia Artificial,🤖,7,Conocedor,IA en la Industria,"Aplicaciones reales, transformación",350,
Tecnología,🤖 Inteligencia Artificial,🤖,8,Conocedor,Ética de la IA,"Sesgos, privacidad, regulación",350,🥇 Gold Badge
Tecnología,🤖 Inteligencia Artificial,🤖,9,Experto,IA General (AGI),Camino hacia la superinteligencia,500,
Tecnología,🤖 Inteligencia Artificial,🤖,10,Experto,El Futuro IA-Humano,"Coexistencia, singularidad tecnológica",500,💎 Diamond Badge
Sociedad,💰 Economía y Finanzas,💰,1,Explorador,Oferta y Demanda,Principios básicos del mercado,100,
Sociedad,💰 Economía y Finanzas,💰,2,Explorador,El Dinero y la Banca,"Historia del dinero, sistema bancario",100,
Sociedad,💰 Economía y Finanzas,💰,3,Explorador,Inflación y Precios,Por qué sube el coste de la vida,100,🥉 Bronze Badge
Sociedad,💰 Economía y Finanzas,💰,4,Aprendiz,Mercados Bursátiles,"Bolsa, acciones, índices",200,
Sociedad,💰 Economía y Finanzas,💰,5,Aprendiz,Comercio Internacional,"Globalización, aranceles, tratados",200,
Sociedad,💰 Economía y Finanzas,💰,6,Aprendiz,Criptomonedas y Blockchain,"Bitcoin, tecnología descentralizada",200,🥈 Silver Badge
Sociedad,💰 Economía y Finanzas,💰,7,Conocedor,Crisis Económicas,"Grandes recesiones, patrones",350,
Sociedad,💰 Economía y Finanzas,💰,8,Conocedor,Política Monetaria,"Bancos centrales, tipos de interés",350,🥇 Gold Badge
Sociedad,💰 Economía y Finanzas,💰,9,Experto,Economía Conductual,Psicología de las decisiones financieras,500,
Sociedad,💰 Economía y Finanzas,💰,10,Experto,El Futuro de la Economía,"Post-capitalismo, economía circular",500,💎 Diamond Badge
Naturaleza,🐋 Biología Marina,🐋,1,Explorador,Los Océanos del Mundo,"Geografía oceánica, corrientes",100,
Naturaleza,🐋 Biología Marina,🐋,2,Explorador,Arrecifes de Coral,"Ecosistemas submarinos, biodiversidad",100,
Naturaleza,🐋 Biología Marina,🐋,3,Explorador,Grandes Mamíferos Marinos,"Ballenas, delfines, comunicación",100,🥉 Bronze Badge
Naturaleza,🐋 Biología Marina,🐋,4,Aprendiz,El Abismo: Vida en las Profundidades,"Criaturas abisales, bioluminiscencia",200,
Naturaleza,🐋 Biología Marina,🐋,5,Aprendiz,Tiburones: Depredadores del Mar,"Especies, mitos y realidades",200,
Naturaleza,🐋 Biología Marina,🐋,6,Aprendiz,Migraciones Oceánicas,"Rutas, instintos, supervivencia",200,🥈 Silver Badge
Naturaleza,🐋 Biología Marina,🐋,7,Conocedor,Contaminación Marina,"Plásticos, acidificación, soluciones",350,
Naturaleza,🐋 Biología Marina,🐋,8,Conocedor,Oceanografía y Clima,El océano como regulador climático,350,🥇 Gold Badge
Naturaleza,🐋 Biología Marina,🐋,9,Experto,Biología Molecular Marina,Genética de organismos marinos,500,
Naturaleza,🐋 Biología Marina,🐋,10,Experto,El Océano del Futuro,"Conservación, explotación sostenible",500,💎 Diamond Badge
Sociedad,🧩 Psicología Humana,🧩,1,Explorador,Introducción a la Psicología,"Corrientes, Freud, conductismo",100,
